"id","username","role","filename","action","status","createdAt","updatedAt"
7,"Unknown","Unknown","-","UNDEFINED","INFO","2025-07-11T00:25:06.372Z","2025-07-11T00:25:06.372Z"
8,"cfo_user","CFO","-","LOGIN","SUCCESS","2025-07-11T00:25:06.521Z","2025-07-11T00:25:06.521Z"
9,"Unknown","Unknown","-","UNDEFINED","INFO","2025-07-11T00:26:45.749Z","2025-07-11T00:26:45.749Z"
10,"Unknown","Unknown","-","UNDEFINED","INFO","2025-07-11T00:26:45.890Z","2025-07-11T00:26:45.890Z"
11,"Unknown","Unknown","-","UNDEFINED","INFO","2025-07-11T00:26:45.890Z","2025-07-11T00:26:45.890Z"
12,"Unknown","Unknown","-","UNDEFINED","INFO","2025-07-11T00:26:45.891Z","2025-07-11T00:26:45.891Z"
13,"Unknown","Unknown","-","UNDEFINED","INFO","2025-07-11T00:27:35.292Z","2025-07-11T00:27:35.292Z"
14,"Unknown","Unknown","-","UNDEFINED","INFO","2025-07-11T00:27:35.360Z","2025-07-11T00:27:35.360Z"
15,"Unknown","Unknown","-","UNDEFINED","INFO","2025-07-11T00:27:35.360Z","2025-07-11T00:27:35.360Z"
16,"Unknown","Unknown","-","UNDEFINED","INFO","2025-07-11T00:27:35.360Z","2025-07-11T00:27:35.360Z"
17,"Unknown","Unknown","-","UNDEFINED","INFO","2025-07-11T00:27:35.361Z","2025-07-11T00:27:35.361Z"
18,"Unknown","Unknown","-","UNDEFINED","INFO","2025-07-11T00:27:35.361Z","2025-07-11T00:27:35.361Z"
19,"Unknown","Unknown","-","UNDEFINED","INFO","2025-07-11T00:27:35.361Z","2025-07-11T00:27:35.361Z"
20,"Unknown","Unknown","-","UNDEFINED","INFO","2025-07-11T00:27:35.361Z","2025-07-11T00:27:35.361Z"
21,"Unknown","Unknown","-","UNDEFINED","INFO","2025-07-11T00:27:35.454Z","2025-07-11T00:27:35.454Z"
22,"Unknown","Unknown","-","[REQUEST] Guest accessed POST /auth/login","INFO","2025-07-11T00:29:47.810Z","2025-07-11T00:29:47.810Z"
23,"cfo_user","CFO","-","LOGIN","SUCCESS","2025-07-11T00:29:48.018Z","2025-07-11T00:29:48.018Z"
24,"Unknown","Unknown","-","[REQUEST] Guest accessed POST /auth/login","INFO","2025-07-11T00:30:26.639Z","2025-07-11T00:30:26.639Z"
25,"cfo_user","CFO","-","LOGIN","SUCCESS","2025-07-11T00:30:27.340Z","2025-07-11T00:30:27.340Z"
26,"cfo_user","CFO","-","LOGIN","SUCCESS","2025-07-11T00:32:46.458Z","2025-07-11T00:32:46.458Z"
27,"cfo_user","CFO","chips.jpg.enc","BRUTEFORCE","SUCCESS","2025-07-11T00:45:58.102Z","2025-07-11T00:45:58.102Z"
28,"cfo_user","CFO","chips.jpg.enc","BRUTEFORCE","IN_PROGRESS","2025-07-11T00:45:58.403Z","2025-07-11T00:45:58.403Z"
29,"cfo_user","CFO","chips.jpg.enc","BRUTEFORCE","FAILED","2025-07-11T00:45:58.403Z","2025-07-11T00:45:58.403Z"
30,"cfo_user","CFO","chips.jpg.enc","BRUTEFORCE","SUCCESS","2025-07-11T00:53:45.829Z","2025-07-11T00:53:45.829Z"
31,"cfo_user","CFO","chips.jpg.enc","BRUTEFORCE","IN_PROGRESS","2025-07-11T00:53:46.086Z","2025-07-11T00:53:46.086Z"
32,"cfo_user","CFO","chips.jpg.enc","BRUTEFORCE","FAILED","2025-07-11T00:53:46.086Z","2025-07-11T00:53:46.086Z"
33,"cfo_user","CFO","chips.jpg.enc","BRUTEFORCE","SUCCESS","2025-07-11T00:54:56.389Z","2025-07-11T00:54:56.389Z"
34,"cfo_user","CFO","chips.jpg.enc","BRUTEFORCE","IN_PROGRESS","2025-07-11T00:54:56.655Z","2025-07-11T00:54:56.655Z"
35,"cfo_user","CFO","chips.jpg.enc","BRUTEFORCE","FAILED","2025-07-11T00:54:56.655Z","2025-07-11T00:54:56.655Z"
36,"cfo_user","CFO","chips.jpg.enc","BRUTEFORCE","IN_PROGRESS","2025-07-11T00:55:58.001Z","2025-07-11T00:55:58.001Z"
37,"cfo_user","CFO","chips.jpg.enc","BRUTEFORCE","FAILED","2025-07-11T00:55:58.204Z","2025-07-11T00:55:58.204Z"
38,"cfo_user","CFO","chips.jpg","ENCRYPT","SUCCESS","2025-07-11T00:59:47.924Z","2025-07-11T00:59:47.924Z"
39,"cfo_user","CFO","chips.jpg","ENCRYPT","SUCCESS","2025-07-11T00:59:48.074Z","2025-07-11T00:59:48.074Z"
40,"cfo_user","CFO","chips.jpg","ENCRYPT","SUCCESS","2025-07-11T00:59:48.074Z","2025-07-11T00:59:48.074Z"
41,"cfo_user","CFO","chips.jpg.enc","ENCRYPT","SUCCESS","2025-07-11T00:59:48.074Z","2025-07-11T00:59:48.074Z"
42,"cfo_user","CFO","chips.jpg.enc","ENCRYPT","SUCCESS","2025-07-11T00:59:48.075Z","2025-07-11T00:59:48.075Z"
43,"cfo_user","CFO","chips.jpg.enc","ENCRYPT","SUCCESS","2025-07-11T00:59:48.114Z","2025-07-11T00:59:48.114Z"
44,"cfo_user","CFO","chips.jpg","ENCRYPT","SUCCESS","2025-07-11T01:04:19.497Z","2025-07-11T01:04:19.522Z"
45,"cfo_user","CFO","chips.jpg","ENCRYPT","SUCCESS","2025-07-11T01:05:31.825Z","2025-07-11T01:05:31.867Z"
46,"cfo_user","CFO","chips.jpg.enc","ENCRYPT","SUCCESS","2025-07-11T01:05:31.925Z","2025-07-11T01:05:31.925Z"
47,"cfo_user","CFO","chips.jpg","ENCRYPT","SUCCESS","2025-07-11T01:06:11.340Z","2025-07-11T01:06:11.364Z"
48,"cfo_user","CFO","chips.jpg.enc","ENCRYPT","SUCCESS","2025-07-11T01:06:11.426Z","2025-07-11T01:06:11.426Z"
49,"cfo_user","CFO","chips.jpg","ENCRYPT","SUCCESS","2025-07-11T01:06:58.274Z","2025-07-11T01:06:58.294Z"
50,"cfo_user","CFO","chips.jpg.enc","ENCRYPT","SUCCESS","2025-07-11T01:06:58.348Z","2025-07-11T01:06:58.348Z"
51,"cfo_user","CFO","chips.jpg","ENCRYPT","SUCCESS","2025-07-11T01:08:35.264Z","2025-07-11T01:08:35.421Z"
52,"cfo_user","CFO","chips.jpg.enc","ENCRYPT","SUCCESS","2025-07-11T01:08:35.437Z","2025-07-11T01:08:35.437Z"
53,"cfo_user","CFO","chips.jpg","ENCRYPT","SUCCESS","2025-07-11T01:10:44.945Z","2025-07-11T01:10:44.969Z"
54,"cfo_user","CFO","chips.jpg.enc","ENCRYPT","SUCCESS","2025-07-11T01:10:45.024Z","2025-07-11T01:10:45.024Z"
55,"cfo_user","CFO","chips.jpg.enc","ENCRYPT","SUCCESS","2025-07-11T01:13:34.860Z","2025-07-11T01:13:34.953Z"
56,"cfo_user","CFO","chips.jpg.enc","ENCRYPT","SUCCESS","2025-07-11T01:13:35.055Z","2025-07-11T01:13:35.055Z"
58,"cfo_user","CFO","-","ENCRYPT","FAILED","2025-07-11T01:18:00.394Z","2025-07-11T01:18:00.394Z"
60,"cfo_user","CFO","-","ENCRYPT","FAILED","2025-07-11T01:18:00.439Z","2025-07-11T01:18:00.439Z"
61,"cfo_user","CFO","chips.jpg.enc","ENCRYPT","IN_PROGRESS","2025-07-11T01:19:35.008Z","2025-07-11T01:19:35.008Z"
62,"cfo_user","CFO","chips.jpg.enc","ENCRYPT","SUCCESS","2025-07-11T01:19:35.052Z","2025-07-11T01:19:35.052Z"
63,"cfo_user","CFO","chips.jpg.enc","ENCRYPT","SUCCESS","2025-07-11T01:19:35.108Z","2025-07-11T01:19:35.108Z"
64,"cfo_user","CFO","chips.jpg","ENCRYPT","IN_PROGRESS","2025-07-11T01:23:54.009Z","2025-07-11T01:23:54.009Z"
65,"cfo_user","CFO","chips.jpg","ENCRYPT","SUCCESS","2025-07-11T01:23:54.181Z","2025-07-11T01:23:54.181Z"
66,"cfo_user","CFO","chips.jpg","ENCRYPT","IN_PROGRESS","2025-07-11T01:25:42.705Z","2025-07-11T01:25:42.705Z"
67,"cfo_user","CFO","chips.jpg.enc","ENCRYPT","SUCCESS","2025-07-11T01:25:42.856Z","2025-07-11T01:25:42.856Z"
70,"cfo_user","CFO","-","LOGIN","SUCCESS","2025-07-11T01:34:28.142Z","2025-07-11T01:34:28.142Z"
72,"cfo_user","CFO","-","GET_ALL","SUCCESS","2025-07-11T01:36:03.509Z","2025-07-11T01:36:03.686Z"
73,"cfo_user","CFO","-","GET_BY_ID","SUCCESS","2025-07-11T01:37:05.616Z","2025-07-11T01:37:05.664Z"
76,"cfo_user","CFO","chips.jpg.enc","SAVE_DATA","SUCCESS","2025-07-11T01:50:02.348Z","2025-07-11T01:50:02.370Z"
77,"cfo_user","CFO","chips.jpg.enc","SAVE_DATA","SUCCESS","2025-07-11T01:50:41.425Z","2025-07-11T01:50:41.449Z"
78,"cfo_user","CFO","chips.jpg.enc","DECRYPT","SUCCESS","2025-07-11T02:13:18.611Z","2025-07-11T02:13:18.729Z"
79,"cfo_user","CFO","chips.jpg.enc","DECRYPT","IN_PROGRESS","2025-07-11T02:26:35.236Z","2025-07-11T02:26:35.236Z"
80,"cfo_user","CFO","chips.jpg","DECRYPT","SUCCESS","2025-07-11T02:26:35.360Z","2025-07-11T02:26:35.360Z"
81,"cfo_user","CFO","chips.jpg.enc","DECRYPT","IN_PROGRESS","2025-07-11T02:30:27.237Z","2025-07-11T02:30:27.237Z"
82,"cfo_user","CFO","chips.jpg","DECRYPT","SUCCESS","2025-07-11T02:30:27.351Z","2025-07-11T02:30:27.351Z"
83,"cfo_user","CFO","chips.jpg.enc","DECRYPT","IN_PROGRESS","2025-07-11T02:31:41.829Z","2025-07-11T02:31:41.829Z"
84,"cfo_user","CFO","chips.jpg","DECRYPT","SUCCESS","2025-07-11T02:31:41.936Z","2025-07-11T02:31:41.936Z"
85,"cfo_user","CFO","chips.jpg.enc","DECRYPT","IN_PROGRESS","2025-07-11T02:33:46.000Z","2025-07-11T02:33:46.000Z"
86,"cfo_user","CFO","chips.jpg","DECRYPT","SUCCESS","2025-07-11T02:33:46.129Z","2025-07-11T02:33:46.129Z"
87,"cfo_user","CFO","-","LOGIN","SUCCESS","2025-07-11T02:38:15.821Z","2025-07-11T02:38:15.821Z"
88,"cfo_user","CFO","chips.jpg.enc","DECRYPT","IN_PROGRESS","2025-07-11T02:38:33.082Z","2025-07-11T02:38:33.082Z"
89,"cfo_user","CFO","chips.jpg","DECRYPT","SUCCESS","2025-07-11T02:38:33.140Z","2025-07-11T02:38:33.140Z"
90,"cfo_user","CFO","chips.jpg.enc","DECRYPT","IN_PROGRESS","2025-07-11T02:41:37.756Z","2025-07-11T02:41:37.756Z"
91,"cfo_user","CFO","chips.jpg","DECRYPT","SUCCESS","2025-07-11T02:41:37.867Z","2025-07-11T02:41:37.867Z"
92,"cfo_user","CFO","chips.jpg.enc","DECRYPT","FAILED","2025-07-11T02:44:47.379Z","2025-07-11T02:44:47.396Z"
93,"cfo_user","CFO","chips.jpg.enc","DECRYPT","FAILED","2025-07-11T02:47:12.377Z","2025-07-11T02:47:12.394Z"
94,"cfo_user","CFO","chips.jpg.enc","DECRYPT","IN_PROGRESS","2025-07-11T03:00:50.683Z","2025-07-11T03:00:50.683Z"
95,"cfo_user","CFO","chips.jpg","DECRYPT","SUCCESS","2025-07-11T03:00:50.849Z","2025-07-11T03:00:50.849Z"
96,"cfo_user","CFO","-","LOGIN","SUCCESS","2025-07-11T03:01:23.528Z","2025-07-11T03:01:23.528Z"
97,"cfo_user","CFO","chips.jpg","ENCRYPT","IN_PROGRESS","2025-07-11T03:04:46.814Z","2025-07-11T03:04:46.814Z"
98,"cfo_user","CFO","chips.jpg.enc","ENCRYPT","SUCCESS","2025-07-11T03:04:46.898Z","2025-07-11T03:04:46.898Z"
99,"cfo_user","CFO","chips.jpg","ENCRYPT","IN_PROGRESS","2025-07-11T03:06:50.254Z","2025-07-11T03:06:50.254Z"
100,"cfo_user","CFO","chips.jpg.enc","ENCRYPT","SUCCESS","2025-07-11T03:06:50.359Z","2025-07-11T03:06:50.359Z"
101,"cfo_user","CFO","chips.jpg","ENCRYPT","IN_PROGRESS","2025-07-11T03:23:21.756Z","2025-07-11T03:23:21.756Z"
102,"cfo_user","CFO","chips.jpg.enc","ENCRYPT","SUCCESS","2025-07-11T03:23:21.952Z","2025-07-11T03:23:21.952Z"
103,"cfo_user","CFO","chips.jpg.enc","DECRYPT","FAILED","2025-07-11T03:23:32.176Z","2025-07-11T03:23:32.187Z"
104,"cfo_user","CFO","chips.jpg.enc","DECRYPT","FAILED","2025-07-11T03:23:44.895Z","2025-07-11T03:23:45.091Z"
105,"cfo_user","CFO","chips.jpg.enc","DECRYPT","IN_PROGRESS","2025-07-11T03:24:30.740Z","2025-07-11T03:24:30.740Z"
106,"cfo_user","CFO","chips.jpg","DECRYPT","SUCCESS","2025-07-11T03:24:30.794Z","2025-07-11T03:24:30.794Z"
107,"cfo_user","CFO","-","LOGIN","SUCCESS","2025-07-11T03:39:14.605Z","2025-07-11T03:39:14.605Z"
108,"cfo_user","CFO","-","GET_ALL","SUCCESS","2025-07-11T03:39:29.319Z","2025-07-11T03:39:29.367Z"
109,"cfo_user","CFO","-","GET_ALL","SUCCESS","2025-07-11T03:40:23.309Z","2025-07-11T03:40:23.374Z"
110,"cfo_user","CFO","-","GET_BY_ID","SUCCESS","2025-07-11T03:41:02.520Z","2025-07-11T03:41:02.563Z"
111,"cfo_user","CFO","-","GET_BY_ID","SUCCESS","2025-07-11T03:41:22.042Z","2025-07-11T03:41:22.096Z"
112,"cfo_user","CFO","-","GET_ALL","SUCCESS","2025-07-11T03:44:15.165Z","2025-07-11T03:44:15.202Z"
113,"cfo_user","CFO","-","LOGIN","SUCCESS","2025-07-11T03:52:04.417Z","2025-07-11T03:52:04.417Z"
114,"cfo_user","CFO","chips.jpg.enc","DECRYPT","FAILED","2025-07-11T03:52:24.299Z","2025-07-11T03:52:24.347Z"
115,"cfo_user","CFO","chips.jpg.enc","DECRYPT","IN_PROGRESS","2025-07-11T03:53:33.993Z","2025-07-11T03:53:33.993Z"
116,"cfo_user","CFO","chips.jpg","DECRYPT","SUCCESS","2025-07-11T03:53:34.038Z","2025-07-11T03:53:34.038Z"